co2	temp	humidity
453	25.29	44.6
452	25.27	44.64
453	25.27	44.59
453	25.26	44.6
452	25.3	44.6
452	25.26	44.6
452	25.27	44.6
451	25.27	44.58
450	25.26	44.6
450	25.25	44.59
450	25.25	44.61
449	25.27	44.56
449	25.27	44.63
449	25.26	44.63
448	25.27	44.63
447	25.26	44.62
447	25.26	44.61
447	25.26	44.64
445	25.27	44.59
445	25.27	44.6
444	25.27	44.62
444	25.29	44.6
444	25.27	44.59
443	25.26	44.6
443	25.26	44.61
443	25.27	44.58
443	25.26	44.59
443	25.23	44.59
443	25.23	44.6
442	25.25	44.65
441	25.26	44.63
438	25.26	44.63
439	25.23	44.64
439	25.25	44.6
439	25.23	44.65
439	25.23	44.63
439	25.22	44.63
439	25.25	44.63
439	25.22	44.66
439	25.23	44.66
440	25.23	44.7
439	25.22	44.68
437	25.23	44.68
435	25.23	44.69
434	25.2	44.68
433	25.22	44.73
433	25.23	44.72
432	25.2	44.71
431	25.22	44.7
431	25.25	44.69
431	25.2	44.69
432	25.2	44.71
431	25.2	44.73
431	25.22	44.73
430	25.22	44.74
429	25.2	44.71
429	25.2	44.71
429	25.22	44.73
430	25.2	44.75
428	25.22	44.78
429	25.2	44.78
429	25.2	44.76
429	25.23	44.79
429	25.22	44.84
429	25.19	44.8
428	25.22	44.79
429	25.18	44.79
428	25.2	44.79
428	25.19	44.79
428	25.19	44.86
427	25.19	44.8
426	25.19	44.79
426	25.19	44.84
426	25.2	44.81
425	25.2	44.77
425	25.19	44.82
424	25.19	44.81
424	25.19	44.8
424	25.2	44.85
425	25.18	44.8
427	25.18	44.83
428	25.18	44.86
428	25.18	44.88
427	25.16	44.88
429	25.15	44.91
429	25.16	44.92
429	25.16	44.92
430	25.16	44.9
430	25.18	44.92
431	25.16	44.9
431	25.16	44.84
431	25.16	44.85
431	25.16	44.87
431	25.18	44.87
431	25.13	44.84
431	25.16	44.91
432	25.15	44.88
433	25.16	44.91
433	25.18	44.93
433	25.16	44.93
433	25.13	44.95
433	25.1	44.97
434	25.16	44.93
434	25.13	44.88
436	25.13	44.93
436	25.15	44.93
436	25.13	44.94
436	25.1	44.92
436	25.12	44.95
436	25.12	44.97
437	25.12	44.97
437	25.1	45.0
437	25.12	44.97
437	25.09	45.0
436	25.1	45.0
436	25.1	45.04
435	25.1	45.03
435	25.1	44.98
435	25.09	45.0
434	25.09	45.04
435	25.09	45.06
434	25.09	45.02
433	25.06	45.02
435	25.12	45.04
435	25.09	45.07
436	25.08	45.02
435	25.06	45.06
436	25.08	45.06
435	25.09	45.05
435	25.08	45.05
435	25.09	45.06
435	25.08	45.04
435	25.08	45.04
435	25.08	45.05
435	25.09	45.08
